epoch,loss,train_acc,val_acc,epoch_time_min,total_time_min
1,2.9026,0.198,0.406,20.4,20.4
2,1.7100,0.505,0.620,18.1,40.5
3,1.1976,0.651,0.688,17.7,59.8
4,0.9736,0.715,0.748,16.3,77.6
5,0.8529,0.750,0.787,16.2,95.3
6,0.7650,0.772,0.789,31.2,128.1
7,0.7061,0.790,0.801,33.5,165.0
8,0.6652,0.801,0.820,25.6,194.0
9,0.6293,0.813,0.821,16.9,212.5
10,0.6004,0.820,0.829,17.7,231.6
11,0.5180,0.844,0.851,17.3,250.6
12,0.4987,0.850,0.856,16.6,268.8
13,0.4887,0.853,0.856,17.3,287.6
14,0.4754,0.857,0.857,16.7,305.8
15,0.4664,0.860,0.862,15.5,322.8
