epoch,pct_complete,elapsed_s,loss,train_acc
1,9,136,3.7257,0.049
1,19,257,3.5733,0.064
1,29,378,3.4664,0.077
1,39,499,3.3807,0.091
1,50,619,3.3120,0.103
1,59,739,3.2359,0.119
1,69,859,3.1533,0.137
1,79,980,3.0673,0.158
1,89,1103,2.9828,0.178
1,100,1223,2.9026,0.198
2,9,116,2.0438,0.423
2,19,224,1.9971,0.431
2,29,331,1.9616,0.437
2,39,439,1.9175,0.448
2,50,543,1.8851,0.456
2,59,649,1.8540,0.465
2,69,759,1.8156,0.475
2,79,868,1.7818,0.484
2,89,977,1.7461,0.495
2,100,1086,1.7100,0.505
3,9,118,1.3507,0.604
3,19,228,1.3424,0.607
3,29,337,1.3130,0.618
3,39,447,1.2907,0.624
3,50,569,1.2718,0.629
3,59,668,1.2526,0.635
3,69,767,1.2380,0.639
3,79,862,1.2226,0.644
3,89,961,1.2109,0.647
3,100,1059,1.1976,0.651
4,9,106,1.0655,0.685
4,19,201,1.0440,0.692
4,29,296,1.0335,0.697
4,39,391,1.0270,0.700
4,50,486,1.0164,0.703
4,59,580,1.0048,0.707
4,69,675,0.9982,0.708
4,79,772,0.9920,0.709
4,89,876,0.9828,0.712
4,100,980,0.9736,0.715
5,9,102,0.9165,0.733
5,19,197,0.8925,0.741
5,29,290,0.9005,0.737
5,39,385,0.8979,0.738
5,50,480,0.8867,0.741
5,59,575,0.8794,0.743
5,69,672,0.8709,0.745
5,79,770,0.8621,0.748
5,89,868,0.8575,0.749
5,100,973,0.8529,0.750
6,9,106,0.7626,0.774
6,19,244,0.7675,0.769
6,29,402,0.7723,0.769
6,39,600,0.7762,0.770
6,50,824,0.7752,0.769
6,59,1031,0.7727,0.771
6,69,1230,0.7694,0.771
6,79,1415,0.7654,0.772
6,89,1659,0.7638,0.773
6,100,1870,0.7650,0.772
7,9,209,0.7235,0.781
7,19,382,0.7161,0.788
7,29,552,0.7105,0.790
7,39,717,0.7144,0.789
7,50,923,0.7092,0.790
7,59,1134,0.7152,0.788
7,69,1341,0.7140,0.788
7,79,1555,0.7131,0.789
7,89,1793,0.7075,0.790
7,100,2010,0.7061,0.790
8,9,215,0.6793,0.798
8,19,409,0.6768,0.798
8,29,619,0.6736,0.798
8,39,828,0.6737,0.797
8,50,1006,0.6677,0.799
8,59,1112,0.6673,0.799
8,69,1214,0.6682,0.799
8,79,1323,0.6676,0.800
8,89,1430,0.6675,0.800
8,100,1536,0.6652,0.801
9,9,110,0.6337,0.810
9,19,210,0.6330,0.810
9,29,311,0.6327,0.809
9,39,411,0.6363,0.808
9,50,512,0.6360,0.809
9,59,612,0.6352,0.810
9,69,712,0.6323,0.812
9,79,812,0.6295,0.813
9,89,912,0.6282,0.813
9,100,1012,0.6293,0.813
10,9,104,0.6162,0.817
10,19,199,0.6153,0.817
10,29,294,0.6164,0.816
10,39,395,0.6136,0.817
10,50,498,0.6090,0.818
10,59,610,0.6048,0.819
10,69,722,0.6019,0.820
10,79,834,0.6013,0.820
10,89,947,0.6005,0.820
10,100,1059,0.6004,0.820
11,9,123,0.5058,0.844
11,19,244,0.5154,0.845
11,29,350,0.5139,0.845
11,39,448,0.5177,0.844
11,50,546,0.5141,0.846
11,59,646,0.5155,0.845
11,69,745,0.5152,0.845
11,79,843,0.5161,0.844
11,89,941,0.5171,0.844
11,100,1039,0.5180,0.844
12,9,110,0.5107,0.847
12,19,209,0.5008,0.849
12,29,308,0.5006,0.849
12,39,406,0.4956,0.850
12,50,505,0.4982,0.850
12,59,604,0.4965,0.850
12,69,702,0.4972,0.850
12,79,801,0.4976,0.851
12,89,899,0.4981,0.850
12,100,997,0.4987,0.850
13,9,107,0.4789,0.857
13,19,206,0.4873,0.852
13,29,305,0.4864,0.853
13,39,403,0.4890,0.853
13,50,502,0.4897,0.852
13,59,605,0.4868,0.853
13,69,733,0.4889,0.853
13,79,835,0.4878,0.853
13,89,935,0.4898,0.853
13,100,1037,0.4887,0.853
14,9,113,0.4707,0.855
14,19,218,0.4777,0.854
14,29,323,0.4712,0.857
14,39,429,0.4672,0.858
14,50,532,0.4727,0.857
14,59,625,0.4747,0.857
14,69,720,0.4732,0.857
14,79,814,0.4745,0.857
14,89,907,0.4762,0.857
14,100,1000,0.4754,0.857
15,9,100,0.4556,0.860
15,19,193,0.4654,0.859
15,29,285,0.4668,0.858
15,39,377,0.4613,0.860
15,50,469,0.4632,0.860
15,59,561,0.4646,0.859
15,69,653,0.4655,0.860
15,79,745,0.4653,0.860
15,89,837,0.4661,0.860
15,100,929,0.4664,0.860
